norm_intensity_mean,norm_intensity_std,classification
145.89684679142292,51.81663222717359,COVID
146.86302166642432,60.478156516334245,COVID
140.59861746512902,50.20067945662855,COVID
116.17597118600463,58.13678883698449,COVID
160.9825393451975,58.23022626083278,COVID
183.4810013310813,48.497084717559865,COVID
153.55850605697924,58.23652139682781,COVID
144.01841142716523,60.4285036239687,COVID
125.14219080323487,56.70073441293981,COVID
158.79519244751177,45.65010322447042,COVID
144.76491314414827,59.55817686768311,COVID
150.6977998008971,50.6700875669564,COVID
120.62544043131508,61.22023319794935,COVID
86.59302468652476,59.08116303694696,COVID
160.19856601156587,50.12927718190238,COVID
129.67687162335992,53.161510201505706,COVID
87.71615530027628,67.38028202323923,COVID
152.0686905068176,75.5307731908868,COVID
121.36515251507254,78.87700326747654,COVID
119.55564255433384,46.65711718003791,COVID
152.0686905068176,75.5307731908868,COVID
114.19191060502679,79.98782376141536,COVID
107.7555060905359,42.398623691419246,COVID
149.25557879665774,77.17149992640555,COVID
134.02965291215983,57.95793711848012,COVID
120.80763078712766,52.52779986931623,COVID
142.55924430375498,61.432274648070624,COVID
142.61572018210086,71.38417484267158,COVID
165.81687005738192,41.61106379236563,COVID
150.90924038880996,79.7133440446709,COVID
163.79651234326238,49.7369287844004,COVID
124.47211999865773,58.48982566062017,COVID
135.4125569065223,67.88981002085599,COVID
159.79845863021666,51.88496251639136,COVID
117.17669824722319,47.83034544946123,COVID
153.96219281663517,81.38952916760077,COVID
98.82059484793236,47.90442394171093,COVID
109.58859520587018,55.63750776847229,COVID
150.98540284784286,69.66061216772344,COVID
170.36586839073388,51.753094713202245,COVID
112.7342647173969,48.333216287804106,COVID
130.95808771713962,75.35097996067881,COVID
116.04595026901265,55.5827836347039,COVID
141.04881377165805,46.10813098488149,COVID
129.2872115524435,82.72806415504243,COVID
150.93873670316887,49.562485025825104,COVID
143.01067102157694,74.30509801012096,COVID
168.98730439256832,60.53152307283189,COVID
178.21909150904352,51.3212921806487,COVID
145.4013042359705,40.00552128647498,COVID
187.24157447903266,47.41983687499448,COVID
178.21909150904352,51.3212921806487,COVID
161.76108768358296,56.15423219930144,COVID
154.00647643762375,56.11599566242575,COVID
163.22901309828748,56.39787075982217,COVID
143.81692598516796,65.31645393186288,COVID
124.26514244807105,27.450583529629522,COVID
141.19736915694455,63.20103183986921,COVID
166.1131307256071,53.785323436491986,COVID
154.6924531045514,37.22161719895007,COVID
134.0285790986678,64.71238624764433,COVID
183.71860493730495,50.35631964559376,COVID
151.93391572801198,53.552200770247,COVID
176.58328206619612,53.142290324384774,COVID
154.9559400901556,61.696996555660334,COVID
160.84332390018008,49.12737051783908,COVID
125.7232469435465,56.747536020880084,COVID
141.2208923837541,70.67652583965904,COVID
174.96048142638224,50.81397922391214,COVID
172.89714880146755,52.283381994544264,COVID
149.53993803201305,74.87528731407129,COVID
145.06777329112649,59.70020312634079,COVID
141.21937114797373,75.44034403660761,COVID
172.43357456851714,59.71599561084675,COVID
160.63578707173298,59.640416239805006,COVID
149.46113578147896,85.38069474577442,COVID
195.35074551738794,38.20870989628505,COVID
170.41357479222827,58.52332978135221,COVID
165.1361953445711,49.359199038249,COVID
150.40095748369706,51.64357348734827,COVID
170.4930258050805,52.34436139337561,COVID
178.87011330969452,50.90003152895023,COVID
143.23358799118577,55.258631024918344,COVID
158.07920493059362,61.574598244561585,COVID
169.2851310388027,51.55180417626015,COVID
135.41172917528885,59.79088378874661,COVID
115.21923692128723,48.03142450318752,COVID
170.34409011084887,44.735926610712106,COVID
164.2279952125815,61.12347166622954,COVID
174.02234874330264,60.78727718626425,COVID
